,geoid2,geoid,residential_order,percent_res,income_order,median_inc
181,BOS25025981800,25025981800,179,0,1,197500
45,BOS25025040100,25025040100,77,0.656008823,2,142688
149,BOS25025120105,25025120105,87,0.621200742,3,137750
147,BOS25025120103,25025120103,13,0.905129275,4,131484
78,BOS25025070600,25025070600,23,0.857741847,5,129884
49,BOS25025040600,25025040600,158,0.151421018,6,123160
67,BOS25025060600,25025060600,163,0.114431017,7,122264
32,BOS25025010702,25025010702,107,0.533532023,8,121553
33,BOS25025010801,25025010801,4,0.960893589,9,118590
34,BOS25025010802,25025010802,3,0.971688711,10,118125
72,BOS25025061200,25025061200,157,0.15701277,11,117378
37,BOS25025020301,25025020301,156,0.165876204,12,116193
158,BOS25025130300,25025130300,19,0.880361321,13,114697
42,BOS25025030300,25025030300,144,0.29480534,14,112639
63,BOS25025060200,25025060200,1,0.984608226,15,110298
35,BOS25025020101,25025020101,18,0.881713453,16,107019
62,BOS25025060101,25025060101,17,0.881804853,17,105606
146,BOS25025110607,25025110607,51,0.756082221,18,105319
66,BOS25025060501,25025060501,76,0.671818124,19,104970
157,BOS25025130200,25025130200,21,0.865319951,20,103438
47,BOS25025040300,25025040300,46,0.777010274,21,102171
79,BOS25025070700,25025070700,60,0.727792416,22,102000
44,BOS25025030500,25025030500,98,0.566186674,23,101910
75,BOS25025070300,25025070300,121,0.470411232,24,101884
177,BOS25025981300,25025981300,151,0.210869583,25,101875
69,BOS25025060800,25025060800,52,0.755365161,26,101778
77,BOS25025070500,25025070500,68,0.701439244,27,101583
31,BOS25025010701,25025010701,91,0.594237703,28,101117
65,BOS25025060400,25025060400,37,0.817429321,29,100112
154,BOS25025120600,25025120600,10,0.908721097,30,99911
30,BOS25025010600,25025010600,139,0.316137971,31,97988
64,BOS25025060301,25025060301,35,0.822452824,32,92898
6,BOS25025000301,25025000301,12,0.906254652,33,86773
40,BOS25025030100,25025030100,88,0.616162475,34,86667
43,BOS25025030400,25025030400,105,0.53617805,35,86512
155,BOS25025120700,25025120700,123,0.459441192,36,85788
145,BOS25025110601,25025110601,70,0.696684964,37,85735
148,BOS25025120104,25025120104,25,0.852877642,38,85321
38,BOS25025020302,25025020302,89,0.611362031,39,84777
152,BOS25025120400,25025120400,40,0.809188259,40,84007
73,BOS25025070101,25025070101,137,0.324477844,41,83750
41,BOS25025030200,25025030200,83,0.639280726,42,81607
156,BOS25025130100,25025130100,143,0.299421981,43,81563
130,BOS25025100603,25025100603,135,0.347564237,44,81324
4,BOS25025000201,25025000201,50,0.759124181,45,80932
144,BOS25025110502,25025110502,20,0.875659733,46,80750
48,BOS25025040401,25025040401,130,0.389822748,47,79750
39,BOS25025020303,25025020303,155,0.168320686,48,79010
143,BOS25025110501,25025110501,2,0.981285935,49,78333
166,BOS25025140201,25025140201,129,0.395920074,50,77832
140,BOS25025110301,25025110301,103,0.546291446,51,77500
142,BOS25025110403,25025110403,11,0.907307051,52,77243
163,BOS25025140105,25025140105,48,0.769441217,53,76285
36,BOS25025020200,25025020200,32,0.828982679,54,75287
109,BOS25025091001,25025091001,148,0.256982385,55,74215
132,BOS25025100800,25025100800,113,0.505598025,56,73868
7,BOS25025000302,25025000302,81,0.641540556,57,72526
80,BOS25025070800,25025070800,65,0.71468877,58,71667
131,BOS25025100700,25025100700,102,0.547836715,59,71341
162,BOS25025140102,25025140102,95,0.571652765,60,71250
3,BOS25025000100,25025000100,142,0.300686359,61,69818
151,BOS25025120301,25025120301,75,0.674576615,62,68482
127,BOS25025100400,25025100400,26,0.851247016,63,68448
153,BOS25025120500,25025120500,29,0.838534479,64,68413
169,BOS25025140400,25025140400,34,0.827349641,65,68042
167,BOS25025140202,25025140202,5,0.956406708,66,67359
56,BOS25025050600,25025050600,131,0.388004927,67,67222
110,BOS25025091100,25025091100,16,0.883109823,68,67150
121,BOS25025092200,25025092200,61,0.726125546,69,67042
138,BOS25025110103,25025110103,85,0.630981691,70,67027
5,BOS25025000202,25025000202,59,0.736385302,71,66875
159,BOS25025130402,25025130402,100,0.55270501,72,66005
107,BOS25025090700,25025090700,145,0.288311292,73,65273
165,BOS25025140107,25025140107,30,0.838283239,74,65000
111,BOS25025091200,25025091200,57,0.743027164,75,64280
61,BOS25025051200,25025051200,150,0.236818677,76,63967
133,BOS25025100900,25025100900,54,0.751355354,77,63271
28,BOS25025010408,25025010408,15,0.887642787,78,63036
129,BOS25025100601,25025100601,14,0.89481948,79,62583
160,BOS25025130404,25025130404,86,0.625142387,80,62208
9,BOS25025000402,25025000402,109,0.519561139,81,60214
50,BOS25025040801,25025040801,154,0.16998103,82,59704
141,BOS25025110401,25025110401,42,0.792545067,83,58864
13,BOS25025000601,25025000601,84,0.63586897,84,58750
21,BOS25025010104,25025010104,117,0.490224762,85,57500
60,BOS25025051101,25025051101,62,0.724852761,86,57454
58,BOS25025050901,25025050901,149,0.247881841,87,57386
136,BOS25025101101,25025101101,22,0.859241954,88,56903
11,BOS25025000503,25025000503,6,0.942982444,89,56522
57,BOS25025050700,25025050700,82,0.640664061,90,55238
52,BOS25025050200,25025050200,45,0.77790583,91,54652
168,BOS25025140300,25025140300,79,0.64543225,92,54505
82,BOS25025071101,25025071101,120,0.475081368,93,53173
54,BOS25025050400,25025050400,71,0.695218904,94,52572
128,BOS25025100500,25025100500,74,0.675667598,95,51938
10,BOS25025000502,25025000502,152,0.201351228,96,51652
90,BOS25025080900,25025080900,78,0.654848802,97,50988
17,BOS25025000704,25025000704,39,0.811986962,98,50577
150,BOS25025120201,25025120201,114,0.505007137,99,50366
126,BOS25025100300,25025100300,31,0.837063444,100,50292
83,BOS25025071201,25025071201,141,0.309710885,101,50280
15,BOS25025000701,25025000701,7,0.919683668,102,49600
120,BOS25025092101,25025092101,96,0.570311588,103,49559
59,BOS25025051000,25025051000,132,0.382513615,104,49241
114,BOS25025091500,25025091500,27,0.849801663,105,48678
12,BOS25025000504,25025000504,36,0.819028537,106,48676
55,BOS25025050500,25025050500,90,0.603047165,107,48125
81,BOS25025070900,25025070900,56,0.747025645,108,47688
8,BOS25025000401,25025000401,9,0.910561255,109,47619
161,BOS25025130406,25025130406,73,0.68429299,110,46695
119,BOS25025092000,25025092000,47,0.775176501,111,46576
118,BOS25025091900,25025091900,43,0.782247512,112,46397
139,BOS25025110201,25025110201,49,0.768339306,113,44449
29,BOS25025010500,25025010500,133,0.380701264,114,44333
19,BOS25025000803,25025000803,171,0.001351789,115,44286
122,BOS25025092300,25025092300,41,0.808979522,116,43729
137,BOS25025101102,25025101102,53,0.751862192,117,42949
113,BOS25025091400,25025091400,58,0.736979208,118,42647
92,BOS25025081100,25025081100,115,0.500455501,119,41146
51,BOS25025050101,25025050101,104,0.539710217,120,41023
106,BOS25025090600,25025090600,108,0.530042192,121,40950
134,BOS25025101001,25025101001,80,0.642092333,122,40764
24,BOS25025010300,25025010300,167,0.020949543,123,40662
116,BOS25025091700,25025091700,8,0.918591906,124,40078
117,BOS25025091800,25025091800,72,0.691398977,125,38371
46,BOS25025040200,25025040200,125,0.423852611,126,37750
135,BOS25025101002,25025101002,110,0.51429467,127,37588
125,BOS25025100200,25025100200,38,0.813412912,128,37203
115,BOS25025091600,25025091600,67,0.704649961,129,37154
174,BOS25025981100,25025981100,164,0.096291971,130,36979
100,BOS25025082000,25025082000,64,0.721429289,131,36685
18,BOS25025000802,25025000802,118,0.481502067,132,36000
112,BOS25025091300,25025091300,99,0.565913741,133,35938
98,BOS25025081800,25025081800,63,0.723010171,134,35084
95,BOS25025081400,25025081400,97,0.567876126,135,34107
96,BOS25025081500,25025081500,44,0.781265329,136,33967
164,BOS25025140106,25025140106,106,0.534927935,137,33185
16,BOS25025000703,25025000703,116,0.490297296,138,32002
85,BOS25025080300,25025080300,122,0.463916788,139,31625
23,BOS25025010204,25025010204,140,0.31411409,140,31196
86,BOS25025080401,25025080401,153,0.194855019,141,31042
105,BOS25025090400,25025090400,66,0.710375389,142,31031
93,BOS25025081200,25025081200,119,0.478721784,143,30819
104,BOS25025090300,25025090300,111,0.510617794,144,30794
20,BOS25025010103,25025010103,168,0.018829005,145,30717
84,BOS25025080100,25025080100,159,0.142082356,146,30598
97,BOS25025081700,25025081700,93,0.588024573,147,30563
123,BOS25025092400,25025092400,55,0.751120803,148,29048
102,BOS25025090100,25025090100,24,0.854587713,149,28362
25,BOS25025010403,25025010403,94,0.574918516,150,28351
124,BOS25025100100,25025100100,124,0.425136697,151,28279
108,BOS25025090901,25025090901,178,0,152,27578
103,BOS25025090200,25025090200,101,0.551054996,153,27045
14,BOS25025000602,25025000602,138,0.318312903,154,25364
87,BOS25025080500,25025080500,134,0.353554221,155,23194
89,BOS25025080801,25025080801,170,0.009930705,156,22450
22,BOS25025010203,25025010203,126,0.421720531,157,22306
70,BOS25025061000,25025061000,112,0.507279913,158,22133
74,BOS25025070200,25025070200,146,0.277512307,159,21712
76,BOS25025070402,25025070402,165,0.081685814,160,21480
91,BOS25025081001,25025081001,136,0.325771475,161,20902
99,BOS25025081900,25025081900,69,0.697179,162,20848
68,BOS25025060700,25025060700,176,0,163,19907
26,BOS25025010404,25025010404,92,0.588452185,164,19595
27,BOS25025010405,25025010405,161,0.124313455,165,19395
94,BOS25025081300,25025081300,128,0.396423666,166,18275
101,BOS25025082100,25025082100,28,0.841124438,167,18045
88,BOS25025080601,25025080601,160,0.138230538,168,16250
53,BOS25025050300,25025050300,147,0.257492574,169,15893
71,BOS25025061101,25025061101,166,0.026130109,170,14500
178,BOS25025981502,25025981502,33,0.827941935,171,
179,BOS25025981600,25025981600,127,0.400790228,172,
172,BOS25025980700,25025980700,162,0.121037445,173,
173,BOS25025981000,25025981000,169,0.010197837,174,
176,BOS25025981202,25025981202,172,0,175,
180,BOS25025981700,25025981700,173,0,176,
171,BOS25025980300,25025980300,174,0,177,
175,BOS25025981201,25025981201,175,0,178,
170,BOS25025980101,25025980101,177,0,179,