,geoid2,geoid,group1_num
181,BOS25025981800,25025981800,4
45,BOS25025040100,25025040100,1
149,BOS25025120105,25025120105,1
147,BOS25025120103,25025120103,1
78,BOS25025070600,25025070600,1
49,BOS25025040600,25025040600,4
67,BOS25025060600,25025060600,4
32,BOS25025010702,25025010702,4
33,BOS25025010801,25025010801,1
34,BOS25025010802,25025010802,1
72,BOS25025061200,25025061200,4
37,BOS25025020301,25025020301,4
158,BOS25025130300,25025130300,1
42,BOS25025030300,25025030300,4
63,BOS25025060200,25025060200,1
35,BOS25025020101,25025020101,1
62,BOS25025060101,25025060101,1
146,BOS25025110607,25025110607,1
66,BOS25025060501,25025060501,1
157,BOS25025130200,25025130200,1
47,BOS25025040300,25025040300,1
79,BOS25025070700,25025070700,1
44,BOS25025030500,25025030500,4
75,BOS25025070300,25025070300,4
177,BOS25025981300,25025981300,4
69,BOS25025060800,25025060800,1
77,BOS25025070500,25025070500,1
31,BOS25025010701,25025010701,4
65,BOS25025060400,25025060400,1
154,BOS25025120600,25025120600,1
30,BOS25025010600,25025010600,4
64,BOS25025060301,25025060301,1
6,BOS25025000301,25025000301,1
40,BOS25025030100,25025030100,1
43,BOS25025030400,25025030400,4
155,BOS25025120700,25025120700,4
145,BOS25025110601,25025110601,1
148,BOS25025120104,25025120104,1
38,BOS25025020302,25025020302,1
152,BOS25025120400,25025120400,1
73,BOS25025070101,25025070101,4
41,BOS25025030200,25025030200,1
156,BOS25025130100,25025130100,4
130,BOS25025100603,25025100603,4
4,BOS25025000201,25025000201,1
144,BOS25025110502,25025110502,1
48,BOS25025040401,25025040401,4
39,BOS25025020303,25025020303,4
143,BOS25025110501,25025110501,1
166,BOS25025140201,25025140201,4
140,BOS25025110301,25025110301,4
142,BOS25025110403,25025110403,1
163,BOS25025140105,25025140105,1
36,BOS25025020200,25025020200,1
109,BOS25025091001,25025091001,4
132,BOS25025100800,25025100800,4
7,BOS25025000302,25025000302,1
80,BOS25025070800,25025070800,1
131,BOS25025100700,25025100700,4
162,BOS25025140102,25025140102,4
3,BOS25025000100,25025000100,4
151,BOS25025120301,25025120301,1
127,BOS25025100400,25025100400,1
153,BOS25025120500,25025120500,1
169,BOS25025140400,25025140400,1
167,BOS25025140202,25025140202,1
56,BOS25025050600,25025050600,4
110,BOS25025091100,25025091100,1
121,BOS25025092200,25025092200,1
138,BOS25025110103,25025110103,1
5,BOS25025000202,25025000202,1
159,BOS25025130402,25025130402,4
107,BOS25025090700,25025090700,4
165,BOS25025140107,25025140107,1
111,BOS25025091200,25025091200,1
61,BOS25025051200,25025051200,4
133,BOS25025100900,25025100900,1
28,BOS25025010408,25025010408,1
129,BOS25025100601,25025100601,1
160,BOS25025130404,25025130404,1
9,BOS25025000402,25025000402,4
50,BOS25025040801,25025040801,4
141,BOS25025110401,25025110401,1
13,BOS25025000601,25025000601,1
21,BOS25025010104,25025010104,4
60,BOS25025051101,25025051101,1
58,BOS25025050901,25025050901,4
136,BOS25025101101,25025101101,1
11,BOS25025000503,25025000503,1
57,BOS25025050700,25025050700,2
52,BOS25025050200,25025050200,2
168,BOS25025140300,25025140300,2
82,BOS25025071101,25025071101,3
54,BOS25025050400,25025050400,2
128,BOS25025100500,25025100500,2
10,BOS25025000502,25025000502,3
90,BOS25025080900,25025080900,2
17,BOS25025000704,25025000704,2
150,BOS25025120201,25025120201,3
126,BOS25025100300,25025100300,2
83,BOS25025071201,25025071201,3
15,BOS25025000701,25025000701,2
120,BOS25025092101,25025092101,3
59,BOS25025051000,25025051000,3
114,BOS25025091500,25025091500,2
12,BOS25025000504,25025000504,2
55,BOS25025050500,25025050500,3
81,BOS25025070900,25025070900,2
8,BOS25025000401,25025000401,2
161,BOS25025130406,25025130406,2
119,BOS25025092000,25025092000,2
118,BOS25025091900,25025091900,2
139,BOS25025110201,25025110201,2
29,BOS25025010500,25025010500,3
19,BOS25025000803,25025000803,3
122,BOS25025092300,25025092300,2
137,BOS25025101102,25025101102,2
113,BOS25025091400,25025091400,2
92,BOS25025081100,25025081100,3
51,BOS25025050101,25025050101,3
106,BOS25025090600,25025090600,3
134,BOS25025101001,25025101001,2
24,BOS25025010300,25025010300,3
116,BOS25025091700,25025091700,2
117,BOS25025091800,25025091800,2
46,BOS25025040200,25025040200,3
135,BOS25025101002,25025101002,3
125,BOS25025100200,25025100200,2
115,BOS25025091600,25025091600,2
174,BOS25025981100,25025981100,3
100,BOS25025082000,25025082000,2
18,BOS25025000802,25025000802,3
112,BOS25025091300,25025091300,3
98,BOS25025081800,25025081800,2
95,BOS25025081400,25025081400,3
96,BOS25025081500,25025081500,2
164,BOS25025140106,25025140106,3
16,BOS25025000703,25025000703,3
85,BOS25025080300,25025080300,3
23,BOS25025010204,25025010204,3
86,BOS25025080401,25025080401,3
105,BOS25025090400,25025090400,2
93,BOS25025081200,25025081200,3
104,BOS25025090300,25025090300,3
20,BOS25025010103,25025010103,3
84,BOS25025080100,25025080100,3
97,BOS25025081700,25025081700,3
123,BOS25025092400,25025092400,2
102,BOS25025090100,25025090100,2
25,BOS25025010403,25025010403,3
124,BOS25025100100,25025100100,3
108,BOS25025090901,25025090901,3
103,BOS25025090200,25025090200,3
14,BOS25025000602,25025000602,3
87,BOS25025080500,25025080500,3
89,BOS25025080801,25025080801,3
22,BOS25025010203,25025010203,3
70,BOS25025061000,25025061000,3
74,BOS25025070200,25025070200,3
76,BOS25025070402,25025070402,3
91,BOS25025081001,25025081001,3
99,BOS25025081900,25025081900,2
68,BOS25025060700,25025060700,3
26,BOS25025010404,25025010404,3
27,BOS25025010405,25025010405,3
94,BOS25025081300,25025081300,3
101,BOS25025082100,25025082100,2
88,BOS25025080601,25025080601,3
53,BOS25025050300,25025050300,3
71,BOS25025061101,25025061101,3
178,BOS25025981502,25025981502,2
179,BOS25025981600,25025981600,3
172,BOS25025980700,25025980700,3
173,BOS25025981000,25025981000,3
176,BOS25025981202,25025981202,3
180,BOS25025981700,25025981700,3
171,BOS25025980300,25025980300,3
175,BOS25025981201,25025981201,3
170,BOS25025980101,25025980101,3